,Code du departement,Libelle du departement,Code de la circonscription,Libelle de la circonscription,Code de la commune,Libelle de la commune,Code du b.vote,Inscrits,Abstentions,% Abs/Ins,Votants,% Vot/Ins,Blancs,% Blancs/Ins,% Blancs/Vot,Nuls,% Nuls/Ins,% Nuls/Vot,Exprimes,% Exp/Ins,% Exp/Vot,No Panneau,Sexe,Nom,Prenom,Voix,% Voix/Ins,% Voix/Exp,No Panneau2,Sexe2,Nom2,Prenom2,Voix2,% Voix/Ins2,% Voix/Exp2
51744,75.0,Paris,6,6eme circonscription,56,Paris,2058.0,1604,315,"19,64",1289,"80,36",69,"4,3","5,35",12,"0,75","0,93",1208,"75,31","93,72",1,M,MACRON,Emmanuel,1140,"71,07","94,37",2,F,LE PEN,Marine,68,"4,24","5,63"
51745,75.0,Paris,6,6eme circonscription,56,Paris,2059.0,1687,352,"20,87",1335,"79,13",76,"4,51","5,69",29,"1,72","2,17",1230,"72,91","92,13",1,M,MACRON,Emmanuel,1154,"68,41","93,82",2,F,LE PEN,Marine,76,"4,51","6,18"
51746,75.0,Paris,6,6eme circonscription,56,Paris,2060.0,1325,261,"19,7",1064,"80,3",64,"4,83","6,02",25,"1,89","2,35",975,"73,58","91,64",1,M,MACRON,Emmanuel,899,"67,85","92,21",2,F,LE PEN,Marine,76,"5,74","7,79"
51747,75.0,Paris,6,6eme circonscription,56,Paris,2061.0,1388,325,"23,41",1063,"76,59",63,"4,54","5,93",11,"0,79","1,03",989,"71,25","93,04",1,M,MACRON,Emmanuel,918,"66,14","92,82",2,F,LE PEN,Marine,71,"5,12","7,18"
51748,75.0,Paris,6,6eme circonscription,56,Paris,2062.0,1473,399,"27,09",1074,"72,91",76,"5,16","7,08",28,"1,9","2,61",970,"65,85","90,32",1,M,MACRON,Emmanuel,862,"58,52","88,87",2,F,LE PEN,Marine,108,"7,33","11,13"
51749,75.0,Paris,6,6eme circonscription,56,Paris,2063.0,1419,436,"30,73",983,"69,27",62,"4,37","6,31",27,"1,9","2,75",894,63,"90,95",1,M,MACRON,Emmanuel,785,"55,32","87,81",2,F,LE PEN,Marine,109,"7,68","12,19"
51750,75.0,Paris,6,6eme circonscription,56,Paris,2064.0,1184,279,"23,56",905,"76,44",45,"3,8","4,97",10,"0,84","1,1",850,"71,79","93,92",1,M,MACRON,Emmanuel,778,"65,71","91,53",2,F,LE PEN,Marine,72,"6,08","8,47"
51751,75.0,Paris,6,6eme circonscription,56,Paris,2065.0,1232,247,"20,05",985,"79,95",48,"3,9","4,87",6,"0,49","0,61",931,"75,57","94,52",1,M,MACRON,Emmanuel,852,"69,16","91,51",2,F,LE PEN,Marine,79,"6,41","8,49"
51752,75.0,Paris,6,6eme circonscription,56,Paris,2066.0,1198,266,"22,2",932,"77,8",58,"4,84","6,22",15,"1,25","1,61",859,"71,7","92,17",1,M,MACRON,Emmanuel,769,"64,19","89,52",2,F,LE PEN,Marine,90,"7,51","10,48"
51753,75.0,Paris,6,6eme circonscription,56,Paris,2067.0,1320,357,"27,05",963,"72,95",74,"5,61","7,68",11,"0,83","1,14",878,"66,52","91,17",1,M,MACRON,Emmanuel,809,"61,29","92,14",2,F,LE PEN,Marine,69,"5,23","7,86"
51754,75.0,Paris,6,6eme circonscription,56,Paris,2068.0,1398,355,"25,39",1043,"74,61",54,"3,86","5,18",26,"1,86","2,49",963,"68,88","92,33",1,M,MACRON,Emmanuel,888,"63,52","92,21",2,F,LE PEN,Marine,75,"5,36","7,79"
51755,75.0,Paris,6,6eme circonscription,56,Paris,2069.0,1398,350,"25,04",1048,"74,96",61,"4,36","5,82",16,"1,14","1,53",971,"69,46","92,65",1,M,MACRON,Emmanuel,891,"63,73","91,76",2,F,LE PEN,Marine,80,"5,72","8,24"
51756,75.0,Paris,6,6eme circonscription,56,Paris,2070.0,1674,386,"23,06",1288,"76,94",63,"3,76","4,89",20,"1,19","1,55",1205,"71,98","93,56",1,M,MACRON,Emmanuel,1092,"65,23","90,62",2,F,LE PEN,Marine,113,"6,75","9,38"
51757,75.0,Paris,6,6eme circonscription,56,Paris,2071.0,1655,402,"24,29",1253,"75,71",71,"4,29","5,67",27,"1,63","2,15",1155,"69,79","92,18",1,M,MACRON,Emmanuel,1066,"64,41","92,29",2,F,LE PEN,Marine,89,"5,38","7,71"
51758,75.0,Paris,6,6eme circonscription,56,Paris,2072.0,1590,415,"26,1",1175,"73,9",87,"5,47","7,4",37,"2,33","3,15",1051,"66,1","89,45",1,M,MACRON,Emmanuel,963,"60,57","91,63",2,F,LE PEN,Marine,88,"5,53","8,37"
51759,75.0,Paris,6,6eme circonscription,56,Paris,2073.0,1555,346,"22,25",1209,"77,75",63,"4,05","5,21",13,"0,84","1,08",1133,"72,86","93,71",1,M,MACRON,Emmanuel,1052,"67,65","92,85",2,F,LE PEN,Marine,81,"5,21","7,15"
51760,75.0,Paris,6,6eme circonscription,56,Paris,2074.0,1613,335,"20,77",1278,"79,23",70,"4,34","5,48",24,"1,49","1,88",1184,"73,4","92,64",1,M,MACRON,Emmanuel,1116,"69,19","94,26",2,F,LE PEN,Marine,68,"4,22","5,74"
